"Step","7b_INTERLEAVE - batch/solve_none","7b_INTERLEAVE - batch/solve_none__MIN","7b_INTERLEAVE - batch/solve_none__MAX","7b_on_policy - batch/solve_none","7b_on_policy - batch/solve_none__MIN","7b_on_policy - batch/solve_none__MAX"
"337","8","8","8","16","16","16"
"338","14","14","14","32","32","32"
"339","12","12","12","22","22","22"
"340","8","8","8","20","20","20"
"341","8","8","8","12","12","12"
"342","8","8","8","17","17","17"
"343","10","10","10","16","16","16"
"344","12","12","12","20","20","20"
"345","12","12","12","18","18","18"
"346","9","9","9","14","14","14"
"347","8","8","8","15","15","15"
"348","17","17","17","26","26","26"
"349","10","10","10","13","13","13"
"350","8","8","8","21","21","21"
"351","11","11","11","14","14","14"
"352","8","8","8","15","15","15"
"353","11","11","11","16","16","16"
"354","10","10","10","11","11","11"
"355","9","9","9","14","14","14"
"356","14","14","14","22","22","22"
"357","18","18","18","29","29","29"
"358","11","11","11","20","20","20"
"359","10","10","10","19","19","19"
"360","14","14","14","18","18","18"
"361","11","11","11","22","22","22"
"362","17","17","17","25","25","25"
"363","15","15","15","27","27","27"
"364","4","4","4","7","7","7"
"365","16","16","16","18","18","18"
"366","11","11","11","18","18","18"
"367","13","13","13","18","18","18"
"368","6","6","6","15","15","15"
"369","10","10","10","17","17","17"
"370","8","8","8","13","13","13"
"371","10","10","10","18","18","18"
"372","11","11","11","27","27","27"
"373","8","8","8","10","10","10"
"374","18","18","18","21","21","21"
"375","12","12","12","12","12","12"
"376","12","12","12","28","28","28"
"377","16","16","16","18","18","18"
"378","13","13","13","12","12","12"
"379","17","17","17","22","22","22"
"380","11","11","11","16","16","16"
"381","9","9","9","13","13","13"
"382","11","11","11","15","15","15"
"383","9","9","9","21","21","21"
"384","15","15","15","20","20","20"
"385","8","8","8","13","13","13"
"386","8","8","8","15","15","15"
"387","8","8","8","16","16","16"
"388","11","11","11","22","22","22"
"389","13","13","13","20","20","20"
"390","9","9","9","18","18","18"
"391","10","10","10","20","20","20"
"392","7","7","7","18","18","18"
"393","8","8","8","18","18","18"
"394","11","11","11","18","18","18"
"395","8","8","8","16","16","16"
"396","14","14","14","19","19","19"
"397","9","9","9","19","19","19"
"398","14","14","14","20","20","20"
"399","10","10","10","19","19","19"
"400","10","10","10","18","18","18"
"401","17","17","17","23","23","23"
"402","12","12","12","23","23","23"
"403","13","13","13","17","17","17"
"404","15","15","15","17","17","17"
"405","10","10","10","14","14","14"
"406","12","12","12","23","23","23"
"407","8","8","8","20","20","20"
"408","10","10","10","14","14","14"
"409","11","11","11","17","17","17"
"410","9","9","9","14","14","14"
"411","12","12","12","17","17","17"
"412","11","11","11","18","18","18"
"413","10","10","10","19","19","19"
"414","12","12","12","20","20","20"
"415","10","10","10","18","18","18"
"416","13","13","13","14","14","14"
"417","9","9","9","23","23","23"
"418","17","17","17","20","20","20"
"419","13","13","13","21","21","21"
"420","6","6","6","17","17","17"
"421","9","9","9","18","18","18"
"422","13","13","13","14","14","14"
"423","9","9","9","17","17","17"
"424","13","13","13","16","16","16"
"425","8","8","8","15","15","15"
"426","13","13","13","19","19","19"
"427","11","11","11","13","13","13"
"428","20","20","20","23","23","23"
"429","15","15","15","19","19","19"
"430","16","16","16","21","21","21"
"431","14","14","14","15","15","15"
"432","13","13","13","25","25","25"
"433","9","9","9","17","17","17"
"434","4","4","4","14","14","14"
"435","10","10","10","21","21","21"
"436","12","12","12","24","24","24"
"437","6","6","6","15","15","15"
"438","9","9","9","16","16","16"
"439","8","8","8","16","16","16"
"440","9","9","9","17","17","17"
"441","12","12","12","14","14","14"
"442","14","14","14","22","22","22"
"443","12","12","12","16","16","16"
"444","6","6","6","12","12","12"
"445","6","6","6","14","14","14"
"446","7","7","7","12","12","12"
"447","7","7","7","18","18","18"
"448","11","11","11","17","17","17"
"449","15","15","15","28","28","28"
"450","5","5","5","18","18","18"
"451","10","10","10","16","16","16"
"452","10","10","10","17","17","17"
"453","7","7","7","20","20","20"
"454","11","11","11","16","16","16"
"455","6","6","6","18","18","18"
"456","12","12","12","24","24","24"
"457","8","8","8","18","18","18"
"458","13","13","13","24","24","24"
"459","4","4","4","12","12","12"
"460","5","5","5","17","17","17"
"461","11","11","11","16","16","16"
"462","7","7","7","20","20","20"
"463","8","8","8","16","16","16"
"464","11","11","11","16","16","16"
"465","11","11","11","13","13","13"
"466","8","8","8","20","20","20"
"467","5","5","5","16","16","16"
"468","9","9","9","27","27","27"
"469","9","9","9","16","16","16"
"470","12","12","12","21","21","21"
"471","11","11","11","20","20","20"
"472","10","10","10","17","17","17"
